Vancouver,Toronto,Match
SWIMMING POOL,Homecraft,No
SWIMMING POOL,Homecraft Other,No
TAXICAB BROKER,Office Broker,No
TAXICAB BROKER,Warehouse Operator - Food Broker,No
TEMPORARY FIREWORKS VENDOR (OVER 25 KG),Office Mobile Food Vendor *Historic*,No
TEMPORARY FIREWORKS VENDOR (OVER 25 KG),Office Street Vendor,No
TEMPORARY FIREWORKS VENDOR (UNDER 25 KG),Office Mobile Food Vendor *Historic*,No
TEMPORARY FIREWORKS VENDOR (UNDER 25 KG),Office Street Vendor,Yes
TEMPORARY LEASE FIREWORKS VENDOR,Office Street Vendor,No
TEMPORARY LEASE FIREWORKS VENDOR,Office Mobile Food Vendor *Historic*,No
TEMPORARY LEASE FIREWORKS VENDOR,Apartment House-99 Year Lease,No
TEMPORARY MOBILE FIREWORKS VENDOR,Office Mobile Food Vendor *Historic*,No
TEMPORARY MOBILE FIREWORKS VENDOR,Office Street Vendor,No
TEMPORARY SIGN - A-FRAME,Sign Permit *Historic*,Yes
TEMPORARY SIGN - A-FRAME,Office Sign Writer,No
TEMPORARY SIGN - A-FRAME,Homecraft,No
TEMPORARY SIGN - A-FRAME,Homecraft Other,No
TEMPORARY SIGN - A-FRAME,Homecraft Candlemaking *Historic*,No
TEMPORARY SIGN - A-FRAME,Electrical Contractor Signs,No
TEMPORARY SIGN - A-FRAME,Manufacturer Signs,No
TEMPORARY SIGN - A-FRAME,Contractor Building,No
TEMPORARY SIGN - GROUND-MOUNTED,Sign Permit *Historic*,Yes
TEMPORARY SIGN - GROUND-MOUNTED,Office Sign Writer,No
TEMPORARY SIGN - GROUND-MOUNTED,Homecraft,No
TEMPORARY SIGN - GROUND-MOUNTED,Homecraft Other,No
TEMPORARY SIGN - GROUND-MOUNTED,Homecraft Candlemaking *Historic*,No
TEMPORARY SIGN - MOBILE,Sign Permit *Historic*,Yes
TEMPORARY SIGN - MOBILE,Office Sign Writer,No
TEMPORARY SIGN - MOBILE,Office Mobile Food Vendor *Historic*,Yes
TEMPORARY SIGN - MOBILE,Homecraft,No
TEMPORARY SIGN - MOBILE,Homecraft Other,No
TEMPORARY SIGN - MOBILE,Homecraft Candlemaking *Historic*,No
TEMPORARY SIGN - MOBILE,Electrical Contractor Signs,No
TEMPORARY SIGN - MOBILE,Manufacturer Signs,No
TEMPORARY SIGN - MOBILE,Business Services,No
TEMPORARY SIGN - MOBILE,Contractor Building,No
TEMPORARY SIGN - NEW DEVELOPMENT,Office Development Company,Yes
TEMPORARY SIGN - NEW DEVELOPMENT,Sign Permit *Historic*,Yes
TEMPORARY SIGN - NEW DEVELOPMENT,Office Sign Writer,Yes
TEMPORARY SIGN - NEW DEVELOPMENT,Office Real Estate Development/Investment,Yes
TEMPORARY SIGN - NEW DEVELOPMENT,Homecraft,No
TEMPORARY SIGN - NEW DEVELOPMENT,Homecraft Other,No
TEMPORARY SIGN - NEW DEVELOPMENT,Financial Services Real Estate Development/Investment,No
TEMPORARY SIGN - NEW DEVELOPMENT,Homecraft Candlemaking *Historic*,No
TEMPORARY SIGN - NEW DEVELOPMENT,Contractor Building,No
TEMPORARY SIGN - NEW DEVELOPMENT,Business Services,No
TEMPORARY SIGN - NEW DEVELOPMENT,Personal Services Project Management,No
TEMPORARY SIGN - NEW DEVELOPMENT,Office Project Management,Yes
TEMPORARY SIGN - NEW DEVELOPMENT,Office Management Company,No
TEMPORARY SIGN - NEW DEVELOPMENT,Office Design Company,No
TEMPORARY SIGN - NEW DEVELOPMENT,Contractor - Special Trades Signs,Yes
TEMPORARY SIGN - NEW DEVELOPMENT,Financial Services Investment Company,No
TEMPORARY SIGN - NEW DEVELOPMENT,Computer Services Design Company,No
TEMPORARY SIGN - NEW DEVELOPMENT,School (Business & Trade) Business School,No
TEMPORARY SIGN - NEW DEVELOPMENT,Production Company Other,Yes
TEMPORARY SIGN - NEW DEVELOPMENT,School (Business & Trade),Yes
TEMPORARY SIGN - NEW DEVELOPMENT,Retail Dealer Residential Building,Yes
TEMPORARY SIGN - NEW DEVELOPMENT,Office Property Management,Yes
TEMPORARY SIGN - NEW DEVELOPMENT,Property Management *Historic*,Yes
TEMPORARY SIGN - NEW DEVELOPMENT,Health Services First Aid Service,No
TEMPORARY SIGN - NEW DEVELOPMENT,Residential/Commercial,No
TEMPORARY SIGN - NEW DEVELOPMENT,School (Private) Business School,No
TEMPORARY SIGN - NEW DEVELOPMENT,Pre-1956 Dwelling One Family,No
TEMPORARY SIGN - NEW DEVELOPMENT,Moving/Transfer Service,No
TEMPORARY SIGN - NEW DEVELOPMENT,Moving/Transfer Service Other,No
TEMPORARY SIGN - NEW DEVELOPMENT,Model Agency,No
TEMPORARY SIGN - NEW DEVELOPMENT,One-Family Dwelling,No
TEMPORARY SIGN - NEW DEVELOPMENT,Production Company Video Production,No
TEMPORARY SIGN - NEW DEVELOPMENT,Community Association Administration,No
TEMPORARY SIGN - NEW DEVELOPMENT,Retail Dealer Class 1,No
TEMPORARY SIGN - NEW DEVELOPMENT,Contractor - Special Trades Building,No
TEMPORARY SIGN - NEW DEVELOPMENT,Health Services Denturist,No
TEMPORARY SIGN - NEW DEVELOPMENT,Public House *Historic*,No
TEMPORARY SIGN - NEW DEVELOPMENT,Contractor - Special Trades Residential Building,No
TEMPORARY SIGN - NEW DEVELOPMENT,Special Beauty Culturist *Historic* Other,No
TEMPORARY SIGN - NEW DEVELOPMENT,Personal Services Candlemaking *Historic*,No
TEMPORARY SIGN - NEW DEVELOPMENT,Personal Services Monumental Works,No
TEMPORARY SIGN - NEW DEVELOPMENT,Moving/Transfer Service Delivery,No
TEMPORARY SIGN - NEW DEVELOPMENT,Computer Services Design,No
TEMPORARY SIGN - NEW DEVELOPMENT,Roofer Commercial Building,No
TEMPORARY SIGN - NEW DEVELOPMENT,Community Association,No
TEMPORARY SIGN - NEW DEVELOPMENT,Community Association Other,No
TEMPORARY SIGN - NEW DEVELOPMENT,Financial Services Trust Company,No
TEMPORARY SIGN - NEW DEVELOPMENT,Office Pre-press,No
TEMPORARY SIGN - NEW DEVELOPMENT,Health Services Home Care,No
TEMPORARY SIGN - NEW DEVELOPMENT,Production Company Music Production,No
TEMPORARY SIGN - NEW DEVELOPMENT,Personal Care Home,No
TEMPORARY SIGN - NEW DEVELOPMENT,One-Family Dwelling Primary (1 Rental),No
TEMPORARY SIGN - NEW DEVELOPMENT,Office Administration,No
TEMPORARY SIGN - NEW DEVELOPMENT,Production Company Film Production,No
TEMPORARY SIGN - NEW DEVELOPMENT,ESL Instruction ESL Instruction - 18 and Over,No
TEMPORARY SIGN - NEW DEVELOPMENT,ESL Instruction ESL Instruction - Under 18,No
TEMPORARY SIGN - NEW DEVELOPMENT,School (Business & Trade) Trade School,No
TEMPORARY SIGN - NEW DEVELOPMENT,Moving/Transfer Service Transport,No
TEMPORARY SIGN - NEW DEVELOPMENT,Liquor Establishment Standard Class 7 (Private Club),No
TEMPORARY SIGN - NEW DEVELOPMENT,Retail Dealer Administration,No
TEMPORARY SIGN - NEW DEVELOPMENT,School (Private),No
TEMPORARY SIGN - NEW DEVELOPMENT,Liquor Establishment Extended Class 7 (Private Club),No
TEMPORARY SIGN - NEW DEVELOPMENT,Electrical Contractor Signs,No
TEMPORARY SIGN - NEW DEVELOPMENT,Family Sports & Entertain Ctr,No
TEMPORARY SIGN - NEW DEVELOPMENT,Public Market - Daily,No
TEMPORARY SIGN - NEW DEVELOPMENT,Financial Services Money Sending Service,No
TEMPORARY SIGN - NEW DEVELOPMENT,Manufacturer Design Company,No
TEMPORARY SIGN - PORTABLE,Sign Permit *Historic*,Yes
TEMPORARY SIGN - PORTABLE,Office Sign Writer,Yes
TEMPORARY SIGN - PORTABLE,Homecraft,No
TEMPORARY SIGN - PORTABLE,Homecraft Other,No
TEMPORARY SIGN - PORTABLE,Electrical Contractor Signs,No
TEMPORARY SIGN - PORTABLE,Manufacturer Signs,Yes
TEMPORARY SIGN - PORTABLE,Homecraft Candlemaking *Historic*,No
TEMPORARY SIGN PROVIDER,Sign Permit *Historic*,Yes
TEMPORARY SIGN PROVIDER,Office Sign Writer,Yes
TEMPORARY SIGN PROVIDER,Manufacturer Signs,Yes
TEMPORARY SIGN PROVIDER,Homecraft,No
TEMPORARY SIGN PROVIDER,Homecraft Other,No
TOW TRUCK OWNER,Caterer Catering Truck,No
TOW TRUCK OWNER,Homecraft,No
TOW TRUCK OWNER,Homecraft Other,No
TOW TRUCK OWNER,Homecraft Candlemaking *Historic*,No
TOW TRUCK OWNER,Business Services,No
TRANSIENT TRADER,Transient Trader/Peddler-A,Yes
TRANSIENT TRADER,Transient Trader/Peddler-W,Yes
TRANSIENT TRADER,Transient Trader/Peddler-W Other,Yes
